id,onet_code,job_title,sector,12th_stream,primary_riasec,secondary_riasec,core_skills,cached_at
514,25-9031.00,Instructional Coordinators,Education,Arts,S,E,"Learning Strategies, Instructing, Speaking, Writing, Active Listening, Monitoring",2026-03-22 08:12:38.055367+00
515,47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall",Construction,Vocational,R,C,"Active Listening, Critical Thinking, Operation and Control, Speaking",2026-03-22 08:12:38.66128+00
516,47-2132.00,"Insulation Workers, Mechanical",Construction,Vocational,R,C,"Active Listening, Coordination, Critical Thinking, Monitoring, Time Management",2026-03-22 08:12:39.352435+00
517,13-1032.00,"Insurance Appraisers, Auto Damage",Finance,Commerce,C,R,"Speaking, Writing, Active Listening, Reading Comprehension, Critical Thinking, Time Management",2026-03-22 08:12:39.948607+00
518,43-9041.00,Insurance Claims and Policy Processing Clerks,Administration,Commerce,C,E,"Reading Comprehension, Time Management, Speaking, Active Listening, Critical Thinking, Coordination",2026-03-22 08:12:40.550596+00
519,41-3021.00,Insurance Sales Agents,Sales,Commerce,E,C,"Reading Comprehension, Active Listening, Speaking, Critical Thinking, Persuasion, Writing",2026-03-22 08:12:41.145636+00
520,13-2053.00,Insurance Underwriters,Finance,Commerce,C,E,"Active Listening, Critical Thinking, Reading Comprehension, Writing, Speaking, Judgment and Decision Making",2026-03-22 08:12:41.743987+00
521,33-3021.06,Intelligence Analysts,Public Safety,Vocational,I,C,"Reading Comprehension, Active Listening, Critical Thinking, Speaking, Writing, Active Learning",2026-03-22 08:12:42.336494+00
522,27-1025.00,Interior Designers,Creative Arts,Arts,A,R,"Active Listening, Critical Thinking, Reading Comprehension, Speaking, Coordination, Service Orientation",2026-03-22 08:12:42.932721+00
523,27-3091.00,Interpreters and Translators,Creative Arts,Arts,C,A,"Speaking, Active Listening, Reading Comprehension, Writing, Critical Thinking, Monitoring",2026-03-22 08:12:43.535692+00
524,43-4111.00,"Interviewers, Except Eligibility and Loan",Administration,Commerce,C,S,"Active Listening, Speaking, Reading Comprehension, Social Perceptiveness, Critical Thinking, Service Orientation",2026-03-22 08:12:44.205338+00
525,11-3031.03,Investment Fund Managers,Management,Commerce,E,C,"Active Listening, Critical Thinking, Reading Comprehension, Judgment and Decision Making, Speaking, Active Learning",2026-03-22 08:12:44.812739+00
526,37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",Maintenance & Repair,Vocational,R,C,"Active Listening, Speaking",2026-03-22 08:12:45.417936+00
527,51-9071.00,Jewelers and Precious Stone and Metal Workers,Manufacturing,Vocational,R,A,"Active Listening, Critical Thinking, Speaking",2026-03-22 08:12:46.004999+00
528,23-1023.00,"Judges, Magistrate Judges, and Magistrates",Legal Services,Commerce,E,C,"Active Listening, Critical Thinking, Judgment and Decision Making, Reading Comprehension, Complex Problem Solving, Speaking",2026-03-22 08:12:46.607588+00
